nome,Cognome,votazione,gruppoVotazione
ANDREA,FERRO,si,PD
EMANUELE,FIANO,si,PD
ROBERTO,FICO,-,M5S
MASSIMO,FIORIO,si,PD
GIUSEPPE,FIORONI,si,PD
VINCENZO,FOLINO,-,SI-SEL
CINZIA MARIA,FONTANA,si,PD
GREGORIO,FONTANA,-,FI-PdL
PAOLO,FONTANELLI,si,PD
ANIELLO,FORMISANO,si,Misto
FILIPPO,FOSSATI,si,PD
RICCARDO,FRACCARO,-,M5S
GIAN MARIO,FRAGOMELI,si,PD
DARIO,FRANCESCHINI,si,PD
NICOLA,FRATOIANNI,-,SI-SEL
SILVIA,FREGOLENT,si,PD
LUCA,FRUSONE,-,M5S
BENEDETTO FRANCESCO,FUCCI,-,Misto
ALESSANDRO,FURNARI,-,Misto
GIANLUCA,FUSILLI,si,PD
MARIA CHIARA,GADDA,si,PD
CHIARA,GAGNARLI,-,M5S
GIANCARLO,GALAN,-,FI-PdL
GIUSEPPE,GALATI,si,Misto
ADRIANA EDEN SUSANNA,GALGANO,no,SCpI
CARLO,GALLI,-,SI-SEL
GIAMPAOLO,GALLI,si,PD
FILIPPO,GALLINELLA,-,M5S
RICCARDO ANTONIO,GALLO AFFLITTO,-,FI-PdL
LUIGI,GALLO,-,M5S
GUIDO,GALPERTI,si,PD
PAOLO,GANDOLFI,si,PD
LAURA,GARAVINI,si,PD
DANIELA,GARNERO SANTANCHE',-,FI-PdL
VINCENZO,GAROFALO,si,AP (NCD-UDC)
FRANCESCO SAVERIO,GAROFANI,si,PD
DANIELA MATILDE MARIA,GASPARINI,-,PD
RENATE,GEBHARD,-,Misto
FEDERICO,GELLI,si,PD
MARIASTELLA,GELMINI,-,FI-PdL
FRANCANTONIO,GENOVESE,-,FI-PdL
PAOLO,GENTILONI SILVERI,si,PD
MANUELA,GHIZZONI,si,PD
ROBERTO,GIACHETTI,si,PD
ANNA,GIACOBBE,si,PD
ANTONELLO,GIACOMELLI,si,PD
SESTINO,GIACOMONI,-,FI-PdL
GABRIELLA,GIAMMANCO,-,FI-PdL
GIAN LUIGI,GIGLI,si,DS-CD
FEDERICO,GINATO,si,PD
DARIO,GINEFRA,si,PD
TOMMASO,GINOBLE,si,PD
GIANCARLO,GIORDANO,-,SI-SEL
SILVIA,GIORDANO,-,M5S
ALBERTO,GIORGETTI,-,FI-PdL
GIANCARLO,GIORGETTI,-,Lega
ANDREA,GIORGIS,si,PD
GREGORIO,GITTI,-,PD
FABRIZIA,GIULIANI,si,PD
GIAMPIERO,GIULIETTI,si,PD
MARIALUISA,GNECCHI,si,PD
SANDRO,GOZI,-,PD
MARTA,GRANDE,-,M5S
GEROLAMO,GRASSI,si,PD
MARIA GAETANA,GRECO,si,PD
MONICA,GREGORI,-,SI-SEL
CHIARA,GRIBAUDO,si,PD
GIULIA,GRILLO,-,M5S
PAOLO,GRIMOLDI,-,Lega
GIUSEPPE,GUERINI,si,PD
LORENZO,GUERINI,si,PD
MAURO,GUERRA,si,PD
GUIDO,GUIDESI,-,Lega
MARIA TINDARA,GULLO,-,FI-PdL
ITZHAK YORAM,GUTGELD,si,PD
MARIA,IACONO,si,PD
BARBATO,IANNUZZI,si,PD
CRISTIAN,IANNUZZI,-,Misto
LEONARDO,IMPEGNO,si,PD
ANTONELLA,INCERTI,si,PD
CRISTIAN,INVERNIZZI,-,Lega
VANNA,IORI,si,PD
FLORIAN,KRONBICHLER,-,SI-SEL
GIUSEPPE,L'ABBATE,-,M5S
FRANCESCA,LA MARCA,si,PD
IGNAZIO BENITO MARIA,LA RUSSA,-,FdI
VINCENZA,LABRIOLA,no,Misto
LUIGI,LACQUANITI,si,PD
PIETRO,LAFFRANCO,-,FI-PdL
FRANCESCO,LAFORGIA,si,PD
GIORGIO,LAINATI,-,FI-PdL
COSIMO,LATRONICO,-,Misto
ENZO,LATTUCA,si,PD
GIUSEPPE,LAURICELLA,si,PD
FABIO,LAVAGNO,si,PD
DONATA,LENZI,si,PD
DANILO,LEVA,si,PD
GIANFRANCO,LIBRANDI,-,SCpI
MIRELLA,LIUZZI,-,M5S
CARMELO,LO MONTE,-,Misto
PIA ELDA,LOCATELLI,si,Misto
EMANUELE,LODOLINI,si,PD
ROBERTA,LOMBARDI,-,M5S
PIERO,LONGO,-,FI-PdL
MARIALUCIA,LOREFICE,-,M5S
BEATRICE,LORENZIN,si,AP (NCD-UDC)
ALBERTO,LOSACCO,si,PD
LUCA,LOTTI,si,PD
MAURIZIO ENZO,LUPI,si,AP (NCD-UDC)
LOREDANA,LUPO,-,M5S
MARIA ANNA,MADIA,si,PD
ANDREA,MAESTRI,-,Misto
PATRIZIA,MAESTRI,si,PD
ERNESTO,MAGORNO,si,PD
PASQUALE,MAIETTA,-,FdI
GIANNA,MALISANI,si,PD
SIMONA FLAVIA,MALPEZZI,si,PD
ANDREA,MANCIULLI,si,PD
MASSIMILIANO,MANFREDI,si,PD
CLAUDIA,MANNINO,-,M5S
MATTEO,MANTERO,-,M5S
IRENE,MANZI,si,PD
DANIELE,MARANTELLI,si,PD
MARIO,MARAZZITI,si,DS-CD
MARCO,MARCHETTI,si,PD
MAINO,MARCHI,si,PD
MARCO,MARCOLIN,si,Misto
GIULIO,MARCON,-,SI-SEL
RUDI FRANCO,MARGUERETTAZ,si,Misto
RAFFAELLA,MARIANI,si,PD
ELISA,MARIANO,si,PD
ANTONIO,MAROTTA,si,AP (NCD-UDC)
SIRO,MARROCU,-,PD
UMBERTO,MARRONI,si,PD
ANDREA,MARTELLA,si,PD
GIOVANNA,MARTELLI,-,SI-SEL
ROBERTO,MARTI,-,Misto
MARCO,MARTINELLI,-,FI-PdL
ANTONIO,MARTINO,-,FI-PdL
PIERDOMENICO,MARTINO,si,PD
MARIA,MARZANA,-,M5S
MARIA,MARZANO,si,PD
FEDERICO,MASSA,si,PD
ANTONIO,MATARRELLI,-,Misto
SALVATORE,MATARRESE,-,SCpI
DAVIDE,MATTIELLO,si,PD
MATTEO,MAURI,si,PD
ANDREA,MAZZIOTTI DI CELSO,-,SCpI
ALESSANDRO,MAZZOLI,si,PD
GENEROSO,MELILLA,-,SI-SEL
FABIO,MELILLI,si,PD
GIORGIA,MELONI,-,FdI
MARCO,MELONI,si,PD
RICARDO ANTONIO,MERLO,-,Misto
MICHELE POMPEO,META,si,PD
MARCO,MICCOLI,si,PD
SALVATORE,MICILLO,-,M5S
GENNARO,MIGLIORE,si,PD
LORENA,MILANATO,-,FI-PdL
ANTONINO,MINARDO,si,AP (NCD-UDC)
EMILIANO,MINNUCCI,si,PD
ANNA MARGHERITA,MIOTTO,si,PD
ANTONIO,MISIANI,si,PD
SALVATORE,MISURACA,si,AP (NCD-UDC)
MICHELE,MOGNATO,si,PD
BRUNO,MOLEA,si,SCpI
NICOLA,MOLTENI,-,Lega
FRANCESCO,MONACO,-,PD
GIOVANNI,MONCHIERO,no,SCpI
COLOMBA,MONGIELLO,si,PD
DANIELE,MONTRONI,si,PD
ALESSIA,MORANI,si,PD
ROBERTO,MORASSUT,si,PD
SARA,MORETTO,si,PD
ANTONINO,MOSCATT,si,PD
GIOVANNI CARLO FRANCESCO,MOTTOLA,si,Misto
MARA,MUCCI,no,Misto
ROMINA,MURA,si,PD
DELIA,MURER,si,PD
ALESSANDRO,NACCARATO,si,PD
MARTINA,NARDI,si,PD
GIULIA,NARDUOLO,si,PD
GAETANO,NASTRI,-,FdI
DALILA,NESCI,-,M5S
EDOARDO,NESI,-,Misto
MARISA,NICCHI,-,SI-SEL
MICHELE,NICOLETTI,si,PD
ANGELA ROSARIA,NISSOLI,si,DS-CD
SETTIMO,NIZZI,-,FI-PdL
RICCARDO,NUTI,-,M5S
ROBERTO,OCCHIUTO,-,FI-PdL
ROBERTA,OLIARO,si,SCpI
NICODEMO NAZZARENO,OLIVERIO,si,PD
MATTEO,ORFINI,si,PD
ANDREA,ORLANDO,si,PD
MAURO,OTTOBRE,si,Misto
ALBERTO,PAGANI,si,PD
ALESSANDRO SARO ALFONSO,PAGANO,si,AP (NCD-UDC)
GIOVANNI,PAGLIA,-,SI-SEL
ERASMO,PALAZZOTTO,-,SI-SEL
ROCCO,PALESE,-,Misto
GIOVANNI,PALLADINO,si,SCpI
GIOVANNA,PALMA,si,PD
ANTONIO,PALMIERI,-,FI-PdL
ELIO MASSIMO,PALMIZIO,-,FI-PdL
ANNA LUCIA LISA,PANNARALE,-,SI-SEL
PAOLO,PARENTELA,-,M5S
VALENTINA,PARIS,si,PD
MASSIMO,PARISI,si,Misto
DARIO,PARRINI,si,PD
ORESTE,PASTORELLI,si,Misto
LUCA,PASTORINO,-,Misto
EDOARDO,PATRIARCA,si,PD
MICHELE,PELILLO,si,PD
SERENA,PELLEGRINO,-,SI-SEL
VINICIO GIUSEPPE GUIDO,PELUFFO,si,PD
CATERINA,PES,si,PD
DANIELE,PESCO,-,M5S
COSIMO,PETRAROLI,-,M5S
GIOVANNA,PETRENGA,-,FdI
PAOLO,PETRINI,si,PD
ILEANA CATHIA,PIAZZONI,si,PD
GUGLIELMO,PICCHI,-,Lega
TERESA,PICCIONE,si,PD
FLAVIA,PICCOLI NARDELLI,si,PD
GIORGIO,PICCOLO,si,PD
SALVATORE,PICCOLO,si,PD
FILIPPO,PICCONE,-,AP (NCD-UDC)
GAETANO,PIEPOLI,si,DS-CD
MAURO,PILI,-,Misto
NAZZARENO,PILOZZI,si,PD
GIANLUCA,PINI,-,Lega
GIUDITTA,PINI,si,PD
PAOLA,PINNA,si,PD
MICHELE,PIRAS,-,SI-SEL
GIROLAMO,PISANO,-,M5S
GIUSEPPE,PISICCHIO,si,Misto
VINCENZO,PISO,-,Misto
SERGIO,PIZZOLANTE,si,AP (NCD-UDC)
ANTONIO,PLACIDO,-,SI-SEL
ALBRECHT,PLANGGER,si,Misto
CATIA,POLIDORI,-,FI-PdL
BARBARA MARIA SIMONETTA,POLLASTRINI,si,PD
RENATA,POLVERINI,-,FI-PdL
FABIO,PORTA,si,PD
GIACOMO ANTONIO,PORTAS,si,PD
EMANUELE,PRATAVIERA,-,Misto
STEFANIA,PRESTIGIACOMO,-,FI-PdL
ERNESTO,PREZIOSI,si,PD
FRANCESCO,PRINA,si,PD
ARIS,PRODANI,no,Misto
STEFANO,QUARANTA,-,SI-SEL
LIA,QUARTAPELLE PROCOPIO,si,PD
GIUSEPPE STEFANO,QUINTARELLI,si,Misto
